Vesta static timing analysis, pin-to-register and register-to-pin maximum timing

Top 20 maximum delay paths:
Path input pin IDATA_PROG_addr[3] to DFFPOSX1_7/D delay 3883.68 ps
      3.8 ps         IDATA_PROG_addr[3]:                ->   BUFX4_1098/A
    124.3 ps  IDATA_PROG_addr_3_bF_buf0:   BUFX4_1098/Y ->      INVX4_2/A
    242.1 ps                    _14956_:      INVX4_2/Y ->    NOR2X1_21/B
    649.1 ps                    _14957_:    NOR2X1_21/Y ->    AOI22X1_3/C
   1184.0 ps                    _14964_:    AOI22X1_3/Y ->   NAND2X1_12/A
   1482.7 ps                    _14965_:   NAND2X1_12/Y ->    BUFX4_838/A
   1674.0 ps            _14965__bF_buf2:    BUFX4_838/Y ->   OAI21X1_16/A
   1835.1 ps                    _14966_:   OAI21X1_16/Y ->    NAND3X1_1/B
   2093.2 ps                    _14967_:    NAND3X1_1/Y ->     NOR3X1_6/A
   2477.7 ps                    _15183_:     NOR3X1_6/Y ->    BUFX4_813/A
   2691.5 ps            _15183__bF_buf0:    BUFX4_813/Y ->   AOI21X1_36/B
   3029.2 ps                    _15949_:   AOI21X1_36/Y ->   BUFX4_1212/A
   3285.7 ps            _15949__bF_buf5:   BUFX4_1212/Y ->  NAND3X1_216/C
   3470.9 ps                      _518_:  NAND3X1_216/Y ->   BUFX4_1438/A
   3630.4 ps              _518__bF_buf2:   BUFX4_1438/Y ->  NAND3X1_234/C
   3929.0 ps                      _678_:  NAND3X1_234/Y ->    BUFX4_763/A
   4189.0 ps              _678__bF_buf6:    BUFX4_763/Y ->    NOR3X1_61/C
   4593.6 ps                     _1081_:    NOR3X1_61/Y ->    NOR3X1_70/C
   4943.1 ps                     _1225_:    NOR3X1_70/Y ->   BUFX4_1449/A
   5164.2 ps             _1225__bF_buf3:   BUFX4_1449/Y ->  NAND3X1_326/A
   5585.6 ps                     _1692_:  NAND3X1_326/Y ->  NAND3X1_331/C
   6036.6 ps                     _1810_:  NAND3X1_331/Y ->   BUFX4_1334/A
   6279.7 ps             _1810__bF_buf5:   BUFX4_1334/Y ->   NOR2X1_327/B
   6727.5 ps                     _2113_:   NOR2X1_327/Y ->  NAND2X1_592/B
   7066.5 ps                     _2731_:  NAND2X1_592/Y ->     OR2X2_56/A
   7265.4 ps                     _2868_:     OR2X2_56/Y -> OAI21X1_1019/B
   7607.7 ps                     _2958_: OAI21X1_1019/Y ->    BUFX4_546/A
   7810.7 ps             _2958__bF_buf7:    BUFX4_546/Y ->   NOR2X1_488/A
   8476.0 ps                     _3124_:   NOR2X1_488/Y ->   MUX2X1_486/S
   8732.7 ps                    _59__6_:   MUX2X1_486/Y -> NAND2X1_1823/B
   8806.2 ps                    _11386_: NAND2X1_1823/Y -> NAND2X1_1824/B
   8869.8 ps                    _11387_: NAND2X1_1824/Y ->  NOR2X1_1392/A
   8966.6 ps                    _11391_:  NOR2X1_1392/Y -> AOI21X1_1129/A
   9051.7 ps                     _0__6_: AOI21X1_1129/Y ->   DFFPOSX1_7/D

Path input pin IDATA_PROG_addr[3] to DFFPOSX1_3/D delay 3834.93 ps
      3.8 ps         IDATA_PROG_addr[3]:                ->   BUFX4_1098/A
    124.3 ps  IDATA_PROG_addr_3_bF_buf0:   BUFX4_1098/Y ->      INVX4_2/A
    242.1 ps                    _14956_:      INVX4_2/Y ->    NOR2X1_21/B
    649.1 ps                    _14957_:    NOR2X1_21/Y ->    AOI22X1_3/C
   1184.0 ps                    _14964_:    AOI22X1_3/Y ->   NAND2X1_12/A
   1482.7 ps                    _14965_:   NAND2X1_12/Y ->    BUFX4_838/A
   1674.0 ps            _14965__bF_buf2:    BUFX4_838/Y ->   OAI21X1_16/A
   1835.1 ps                    _14966_:   OAI21X1_16/Y ->    NAND3X1_1/B
   2093.2 ps                    _14967_:    NAND3X1_1/Y ->     NOR3X1_6/A
   2477.7 ps                    _15183_:     NOR3X1_6/Y ->    BUFX4_813/A
   2691.5 ps            _15183__bF_buf0:    BUFX4_813/Y ->   AOI21X1_36/B
   3029.2 ps                    _15949_:   AOI21X1_36/Y ->   BUFX4_1212/A
   3285.7 ps            _15949__bF_buf5:   BUFX4_1212/Y ->  NAND3X1_216/C
   3470.9 ps                      _518_:  NAND3X1_216/Y ->   BUFX4_1438/A
   3630.4 ps              _518__bF_buf2:   BUFX4_1438/Y ->  NAND3X1_234/C
   3929.0 ps                      _678_:  NAND3X1_234/Y ->    BUFX4_763/A
   4189.0 ps              _678__bF_buf6:    BUFX4_763/Y ->    NOR3X1_61/C
   4593.6 ps                     _1081_:    NOR3X1_61/Y ->    NOR3X1_70/C
   4943.1 ps                     _1225_:    NOR3X1_70/Y ->   BUFX4_1449/A
   5164.2 ps             _1225__bF_buf3:   BUFX4_1449/Y ->  NAND3X1_326/A
   5585.6 ps                     _1692_:  NAND3X1_326/Y ->  NAND3X1_331/C
   6036.6 ps                     _1810_:  NAND3X1_331/Y ->   BUFX4_1334/A
   6279.7 ps             _1810__bF_buf5:   BUFX4_1334/Y ->   NOR2X1_327/B
   6727.5 ps                     _2113_:   NOR2X1_327/Y ->  NAND2X1_592/B
   7066.5 ps                     _2731_:  NAND2X1_592/Y ->     OR2X2_56/A
   7265.4 ps                     _2868_:     OR2X2_56/Y -> OAI21X1_1019/B
   7607.7 ps                     _2958_: OAI21X1_1019/Y ->    BUFX4_546/A
   7810.7 ps             _2958__bF_buf7:    BUFX4_546/Y ->   NOR2X1_488/A
   8472.6 ps                     _3124_:   NOR2X1_488/Y ->   MUX2X1_483/S
   8742.7 ps                    _59__2_:   MUX2X1_483/Y -> NAND2X1_1378/B
   8820.5 ps                     _9877_: NAND2X1_1378/Y -> NAND2X1_1379/B
   8886.4 ps                     _9878_: NAND2X1_1379/Y ->  NOR2X1_1217/B
   8978.3 ps                     _9882_:  NOR2X1_1217/Y -> AOI21X1_1116/A
   9056.4 ps                     _0__2_: AOI21X1_1116/Y ->   DFFPOSX1_3/D

Path input pin IDATA_PROG_addr[3] to DFFPOSX1_15/D delay 3832.48 ps
      3.8 ps         IDATA_PROG_addr[3]:                ->   BUFX4_1098/A
    124.3 ps  IDATA_PROG_addr_3_bF_buf0:   BUFX4_1098/Y ->      INVX4_2/A
    242.1 ps                    _14956_:      INVX4_2/Y ->    NOR2X1_21/B
    649.1 ps                    _14957_:    NOR2X1_21/Y ->    AOI22X1_3/C
   1184.0 ps                    _14964_:    AOI22X1_3/Y ->   NAND2X1_12/A
   1482.7 ps                    _14965_:   NAND2X1_12/Y ->    BUFX4_838/A
   1674.0 ps            _14965__bF_buf2:    BUFX4_838/Y ->   OAI21X1_16/A
   1835.1 ps                    _14966_:   OAI21X1_16/Y ->    NAND3X1_1/B
   2093.2 ps                    _14967_:    NAND3X1_1/Y ->     NOR3X1_6/A
   2477.7 ps                    _15183_:     NOR3X1_6/Y ->    BUFX4_813/A
   2691.5 ps            _15183__bF_buf0:    BUFX4_813/Y ->   AOI21X1_36/B
   3029.2 ps                    _15949_:   AOI21X1_36/Y ->   BUFX4_1212/A
   3285.7 ps            _15949__bF_buf5:   BUFX4_1212/Y ->  NAND3X1_216/C
   3470.9 ps                      _518_:  NAND3X1_216/Y ->   BUFX4_1438/A
   3630.4 ps              _518__bF_buf2:   BUFX4_1438/Y ->  NAND3X1_234/C
   3929.0 ps                      _678_:  NAND3X1_234/Y ->    BUFX4_763/A
   4189.0 ps              _678__bF_buf6:    BUFX4_763/Y ->    NOR3X1_61/C
   4593.6 ps                     _1081_:    NOR3X1_61/Y ->    NOR3X1_70/C
   4943.1 ps                     _1225_:    NOR3X1_70/Y ->   BUFX4_1449/A
   5164.2 ps             _1225__bF_buf3:   BUFX4_1449/Y ->  NAND3X1_326/A
   5585.6 ps                     _1692_:  NAND3X1_326/Y ->  NAND3X1_331/C
   6036.6 ps                     _1810_:  NAND3X1_331/Y ->   BUFX4_1334/A
   6279.7 ps             _1810__bF_buf5:   BUFX4_1334/Y ->   NOR2X1_327/B
   6727.5 ps                     _2113_:   NOR2X1_327/Y ->  NAND2X1_592/B
   7066.5 ps                     _2731_:  NAND2X1_592/Y ->     OR2X2_56/A
   7265.4 ps                     _2868_:     OR2X2_56/Y -> OAI21X1_1019/B
   7607.7 ps                     _2958_: OAI21X1_1019/Y ->    BUFX4_546/A
   7810.7 ps             _2958__bF_buf7:    BUFX4_546/Y ->   NOR2X1_488/A
   8472.8 ps                     _3124_:   NOR2X1_488/Y ->   MUX2X1_494/S
   8738.4 ps                   _59__14_:   MUX2X1_494/Y -> NAND2X1_2686/B
