============================================================
  Generated by:           Encounter(R) RTL Compiler v08.10-s222_1
  Generated on:           Feb 08 2018  09:28:50 PM
  Module:                 NRISC_UP
  Technology library:     NangateOpenCellLibrary revision 1.0
  Operating conditions:   typical 
  Interconnect mode:      ple
  Area mode:              physical library
============================================================

   Instance    Cells  Cell Area  Net Area  
-------------------------------------------
NRISC_UP        4732       8550     19642  
  REGs          3073       5848     12070  
  ULA            912       1334      4305  
    rsh_78_25    171        226       591  
    rsh_81_25    164        235       531  
    lsh_84_25    164        235       520  
    sumsub       127        252       365  
  ID             285        433      1306  
  PC             218        467      1233  
