Vesta static timing analysis, pin-to-register and register-to-pin maximum timing

Top 20 maximum delay paths:
Path input pin INTERRUPT_flag to DFFPOSX1_50/D delay 4460.04 ps
      0.0 ps          INTERRUPT_flag:               ->   BUFX4_279/A
    180.5 ps  INTERRUPT_flag_bF_buf8:   BUFX4_279/Y -> NAND2X1_127/A
    282.7 ps                  _2306_: NAND2X1_127/Y -> OAI21X1_200/C
    385.1 ps                  _2307_: OAI21X1_200/Y -> NAND3X1_434/B
    482.8 ps                  _1971_: NAND3X1_434/Y -> OAI21X1_568/C
    552.1 ps                  _1972_: OAI21X1_568/Y ->  NOR2X1_204/B
    619.2 ps                  _1976_:  NOR2X1_204/Y -> NAND3X1_437/B
    709.0 ps                REG_B_0_: NAND3X1_437/Y ->    MUX2X1_1/B
    816.8 ps                    _32_:    MUX2X1_1/Y ->  OAI21X1_18/A
   1074.6 ps                ULA_B_0_:  OAI21X1_18/Y ->   BUFX4_251/A
   1311.3 ps         ULA_B_0_bF_buf4:   BUFX4_251/Y ->  NOR2X1_301/B
   1389.4 ps                  _3090_:  NOR2X1_301/Y -> AOI21X1_390/C
   1512.2 ps                  _3091_: AOI21X1_390/Y -> AOI21X1_391/A
   1665.2 ps                  _3099_: AOI21X1_391/Y -> OAI21X1_741/A
   1820.8 ps                  _3108_: OAI21X1_741/Y -> AOI21X1_392/B
   1968.4 ps                  _3113_: AOI21X1_392/Y -> OAI21X1_742/A
   2122.6 ps                  _3119_: OAI21X1_742/Y -> AOI21X1_393/B
   2270.2 ps                  _3124_: AOI21X1_393/Y -> OAI21X1_743/A
   2424.3 ps                  _3039_: OAI21X1_743/Y -> AOI21X1_394/B
   2571.9 ps                  _3044_: AOI21X1_394/Y -> OAI21X1_744/A
   2726.1 ps                  _3051_: OAI21X1_744/Y -> AOI21X1_395/B
   2873.6 ps                  _3056_: AOI21X1_395/Y -> OAI21X1_745/A
   3027.8 ps                  _3063_: OAI21X1_745/Y -> AOI21X1_396/B
   3175.4 ps                  _3068_: AOI21X1_396/Y -> OAI21X1_746/A
   3329.5 ps                  _3075_: OAI21X1_746/Y -> AOI21X1_397/B
   3477.1 ps                  _3080_: AOI21X1_397/Y -> OAI21X1_747/A
   3601.2 ps            ULA_carrysom: OAI21X1_747/Y ->  XNOR2X1_36/A
   3708.3 ps          ULA_OUT_0__15_:  XNOR2X1_36/Y ->  NOR2X1_296/A
   3808.9 ps                  _2973_:  NOR2X1_296/Y -> OAI21X1_738/B
   3898.4 ps                  _3002_: OAI21X1_738/Y ->  NOR2X1_299/A
   3969.6 ps                  _3003_:  NOR2X1_299/Y -> NAND3X1_646/B
   4054.5 ps                  _3004_: NAND3X1_646/Y ->  NOR2X1_300/B
   4121.2 ps                ULA_zero:  NOR2X1_300/Y ->   NAND3X1_4/B
   4208.8 ps                   _146_:   NAND3X1_4/Y ->   NAND3X1_5/A
   4311.0 ps                   _149_:   NAND3X1_5/Y ->   NAND3X1_6/C
   4395.5 ps                   _151_:   NAND3X1_6/Y ->  AOI21X1_19/B
   4460.0 ps                 _85__0_:  AOI21X1_19/Y -> DFFPOSX1_50/D

Path input pin INTERRUPT_flag to DFFPOSX1_30/D delay 3875.03 ps
      0.0 ps          INTERRUPT_flag:               ->   BUFX4_279/A
    180.5 ps  INTERRUPT_flag_bF_buf8:   BUFX4_279/Y -> NAND2X1_127/A
    282.7 ps                  _2306_: NAND2X1_127/Y -> OAI21X1_200/C
    385.1 ps                  _2307_: OAI21X1_200/Y -> NAND3X1_434/B
    482.8 ps                  _1971_: NAND3X1_434/Y -> OAI21X1_568/C
    552.1 ps                  _1972_: OAI21X1_568/Y ->  NOR2X1_204/B
    619.2 ps                  _1976_:  NOR2X1_204/Y -> NAND3X1_437/B
    709.0 ps                REG_B_0_: NAND3X1_437/Y ->    MUX2X1_1/B
    816.8 ps                    _32_:    MUX2X1_1/Y ->  OAI21X1_18/A
   1074.6 ps                ULA_B_0_:  OAI21X1_18/Y ->   BUFX4_251/A
   1311.3 ps         ULA_B_0_bF_buf4:   BUFX4_251/Y ->  NOR2X1_301/B
   1389.4 ps                  _3090_:  NOR2X1_301/Y -> AOI21X1_390/C
   1512.2 ps                  _3091_: AOI21X1_390/Y -> AOI21X1_391/A
   1665.2 ps                  _3099_: AOI21X1_391/Y -> OAI21X1_741/A
   1820.8 ps                  _3108_: OAI21X1_741/Y -> AOI21X1_392/B
   1968.4 ps                  _3113_: AOI21X1_392/Y -> OAI21X1_742/A
   2122.6 ps                  _3119_: OAI21X1_742/Y -> AOI21X1_393/B
   2270.2 ps                  _3124_: AOI21X1_393/Y -> OAI21X1_743/A
   2424.3 ps                  _3039_: OAI21X1_743/Y -> AOI21X1_394/B
   2571.9 ps                  _3044_: AOI21X1_394/Y -> OAI21X1_744/A
   2726.1 ps                  _3051_: OAI21X1_744/Y -> AOI21X1_395/B
   2873.6 ps                  _3056_: AOI21X1_395/Y -> OAI21X1_745/A
   3027.8 ps                  _3063_: OAI21X1_745/Y -> AOI21X1_396/B
   3175.4 ps                  _3068_: AOI21X1_396/Y -> OAI21X1_746/A
   3329.5 ps                  _3075_: OAI21X1_746/Y -> AOI21X1_397/B
   3477.1 ps                  _3080_: AOI21X1_397/Y -> OAI21X1_747/A
   3601.2 ps            ULA_carrysom: OAI21X1_747/Y ->  XNOR2X1_36/A
   3708.3 ps          ULA_OUT_0__15_:  XNOR2X1_36/Y ->  NOR2X1_296/A
   3808.9 ps                  _2973_:  NOR2X1_296/Y ->  NOR2X1_297/A
   3875.0 ps         ULA_ULA_OUT_15_:  NOR2X1_297/Y -> DFFPOSX1_30/D

Path input pin INTERRUPT_flag to DFFPOSX1_29/D delay 3848.78 ps
      0.0 ps          INTERRUPT_flag:               ->   BUFX4_279/A
    180.5 ps  INTERRUPT_flag_bF_buf8:   BUFX4_279/Y -> NAND2X1_127/A
    282.7 ps                  _2306_: NAND2X1_127/Y -> OAI21X1_200/C
    385.1 ps                  _2307_: OAI21X1_200/Y -> NAND3X1_434/B
    482.8 ps                  _1971_: NAND3X1_434/Y -> OAI21X1_568/C
    552.1 ps                  _1972_: OAI21X1_568/Y ->  NOR2X1_204/B
    619.2 ps                  _1976_:  NOR2X1_204/Y -> NAND3X1_437/B
    709.0 ps                REG_B_0_: NAND3X1_437/Y ->    MUX2X1_1/B
    816.8 ps                    _32_:    MUX2X1_1/Y ->  OAI21X1_18/A
   1074.6 ps                ULA_B_0_:  OAI21X1_18/Y ->   BUFX4_251/A
   1311.3 ps         ULA_B_0_bF_buf4:   BUFX4_251/Y ->  NOR2X1_301/B
   1389.4 ps                  _3090_:  NOR2X1_301/Y -> AOI21X1_390/C
   1512.2 ps                  _3091_: AOI21X1_390/Y -> AOI21X1_391/A
   1665.2 ps                  _3099_: AOI21X1_391/Y -> OAI21X1_741/A
   1820.8 ps                  _3108_: OAI21X1_741/Y -> AOI21X1_392/B
   1968.4 ps                  _3113_: AOI21X1_392/Y -> OAI21X1_742/A
   2122.6 ps                  _3119_: OAI21X1_742/Y -> AOI21X1_393/B
   2270.2 ps                  _3124_: AOI21X1_393/Y -> OAI21X1_743/A
   2424.3 ps                  _3039_: OAI21X1_743/Y -> AOI21X1_394/B
   2571.9 ps                  _3044_: AOI21X1_394/Y -> OAI21X1_744/A
   2726.1 ps                  _3051_: OAI21X1_744/Y -> AOI21X1_395/B
   2873.6 ps                  _3056_: AOI21X1_395/Y -> OAI21X1_745/A
   3027.8 ps                  _3063_: OAI21X1_745/Y -> AOI21X1_396/B
   3175.4 ps                  _3068_: AOI21X1_396/Y -> OAI21X1_746/A
   3329.5 ps                  _3075_: OAI21X1_746/Y -> AOI21X1_397/B
   3477.1 ps                  _3080_: AOI21X1_397/Y ->  XNOR2X1_34/A
   3585.5 ps          ULA_OUT_0__14_:  XNOR2X1_34/Y ->   AND2X2_53/B
   3703.1 ps                  _2971_:   AND2X2_53/Y ->   NOR3X1_69/B
   3798.6 ps                  _2972_:   NOR3X1_69/Y ->   INVX1_239/A
   3848.8 ps         ULA_ULA_OUT_14_:   INVX1_239/Y -> DFFPOSX1_29/D

Path input pin INTERRUPT_flag to DFFPOSX1_28/D delay 3608.43 ps
      0.0 ps          INTERRUPT_flag:               ->   BUFX4_279/A
    180.5 ps  INTERRUPT_flag_bF_buf8:   BUFX4_279/Y -> NAND2X1_127/A
    282.7 ps                  _2306_: NAND2X1_127/Y -> OAI21X1_200/C
